logL at truth: 44605.3152885471
100/15000 | acc 0.370 | e=0.29965 m1=0.6024 m2=0.2143
200/15000 | acc 0.355 | e=0.29849 m1=0.5874 m2=0.2183
300/15000 | acc 0.377 | e=0.29861 m1=0.5978 m2=0.2124
400/15000 | acc 0.355 | e=0.30004 m1=0.5879 m2=0.2161
500/15000 | acc 0.342 | e=0.29891 m1=0.6062 m2=0.2124
600/15000 | acc 0.340 | e=0.29732 m1=0.5916 m2=0.2180
700/15000 | acc 0.347 | e=0.30114 m1=0.5893 m2=0.2165
800/15000 | acc 0.346 | e=0.29893 m1=0.5884 m2=0.2175
900/15000 | acc 0.337 | e=0.30017 m1=0.5916 m2=0.2165
1000/15000 | acc 0.336 | e=0.29997 m1=0.5989 m2=0.2138
1100/15000 | acc 0.337 | e=0.29942 m1=0.5948 m2=0.2152
1200/15000 | acc 0.343 | e=0.29972 m1=0.5972 m2=0.2151
1300/15000 | acc 0.348 | e=0.30051 m1=0.5973 m2=0.2144
1400/15000 | acc 0.349 | e=0.29965 m1=0.5806 m2=0.2206
1500/15000 | acc 0.353 | e=0.29951 m1=0.6042 m2=0.2123
1600/15000 | acc 0.351 | e=0.29698 m1=0.5917 m2=0.2155
1700/15000 | acc 0.351 | e=0.30099 m1=0.5979 m2=0.2140
1800/15000 | acc 0.354 | e=0.29824 m1=0.5957 m2=0.2150
1900/15000 | acc 0.354 | e=0.30129 m1=0.5953 m2=0.2156
2000/15000 | acc 0.352 | e=0.30075 m1=0.6042 m2=0.2126
2100/15000 | acc 0.358 | e=0.29943 m1=0.5962 m2=0.2155
2200/15000 | acc 0.357 | e=0.29912 m1=0.5931 m2=0.2164
2300/15000 | acc 0.356 | e=0.29972 m1=0.5921 m2=0.2163
2400/15000 | acc 0.359 | e=0.29809 m1=0.5971 m2=0.2156
2500/15000 | acc 0.359 | e=0.29752 m1=0.5952 m2=0.2156
2600/15000 | acc 0.359 | e=0.30101 m1=0.5972 m2=0.2139
2700/15000 | acc 0.360 | e=0.29879 m1=0.5946 m2=0.2165
2800/15000 | acc 0.360 | e=0.30021 m1=0.5946 m2=0.2163
2900/15000 | acc 0.360 | e=0.29852 m1=0.6019 m2=0.2138
3000/15000 | acc 0.362 | e=0.29707 m1=0.5982 m2=0.2131
3100/15000 | acc 0.361 | e=0.30078 m1=0.6012 m2=0.2129
3200/15000 | acc 0.361 | e=0.29850 m1=0.6015 m2=0.2135
3300/15000 | acc 0.361 | e=0.29778 m1=0.6041 m2=0.2127
3400/15000 | acc 0.359 | e=0.30058 m1=0.5927 m2=0.2153
3500/15000 | acc 0.357 | e=0.29921 m1=0.5976 m2=0.2142
3600/15000 | acc 0.356 | e=0.29703 m1=0.5971 m2=0.2149
3700/15000 | acc 0.354 | e=0.30086 m1=0.5857 m2=0.2167
3800/15000 | acc 0.356 | e=0.29897 m1=0.5997 m2=0.2147
3900/15000 | acc 0.358 | e=0.29697 m1=0.5956 m2=0.2151
4000/15000 | acc 0.357 | e=0.29953 m1=0.5887 m2=0.2182
4100/15000 | acc 0.358 | e=0.29994 m1=0.5912 m2=0.2171
4200/15000 | acc 0.358 | e=0.30093 m1=0.5924 m2=0.2163
4300/15000 | acc 0.359 | e=0.29839 m1=0.5940 m2=0.2156
4400/15000 | acc 0.360 | e=0.29878 m1=0.5890 m2=0.2182
4500/15000 | acc 0.360 | e=0.30047 m1=0.5959 m2=0.2143
4600/15000 | acc 0.361 | e=0.30026 m1=0.5919 m2=0.2169
4700/15000 | acc 0.360 | e=0.29997 m1=0.5879 m2=0.2179
4800/15000 | acc 0.362 | e=0.29869 m1=0.5928 m2=0.2159
4900/15000 | acc 0.362 | e=0.29843 m1=0.6015 m2=0.2132
5000/15000 | acc 0.362 | e=0.29771 m1=0.5906 m2=0.2149
5100/15000 | acc 0.361 | e=0.30014 m1=0.5880 m2=0.2176
5200/15000 | acc 0.361 | e=0.29769 m1=0.5980 m2=0.2140
5300/15000 | acc 0.359 | e=0.29859 m1=0.6024 m2=0.2127
5400/15000 | acc 0.361 | e=0.29939 m1=0.5997 m2=0.2142
5500/15000 | acc 0.361 | e=0.30125 m1=0.5923 m2=0.2158
5600/15000 | acc 0.360 | e=0.29890 m1=0.5892 m2=0.2166
5700/15000 | acc 0.358 | e=0.30100 m1=0.5864 m2=0.2179
5800/15000 | acc 0.358 | e=0.30092 m1=0.6006 m2=0.2143
5900/15000 | acc 0.356 | e=0.29898 m1=0.5967 m2=0.2137
6000/15000 | acc 0.357 | e=0.30061 m1=0.5991 m2=0.2127
6100/15000 | acc 0.358 | e=0.29797 m1=0.5970 m2=0.2147
6200/15000 | acc 0.358 | e=0.29988 m1=0.5888 m2=0.2181
6300/15000 | acc 0.358 | e=0.30037 m1=0.5873 m2=0.2184
6400/15000 | acc 0.358 | e=0.29836 m1=0.5944 m2=0.2158
6500/15000 | acc 0.358 | e=0.30285 m1=0.5963 m2=0.2132
6600/15000 | acc 0.358 | e=0.30032 m1=0.5959 m2=0.2141
6700/15000 | acc 0.358 | e=0.30089 m1=0.6004 m2=0.2137
6800/15000 | acc 0.357 | e=0.29977 m1=0.5966 m2=0.2151
6900/15000 | acc 0.357 | e=0.29903 m1=0.5942 m2=0.2159
7000/15000 | acc 0.357 | e=0.29961 m1=0.5955 m2=0.2154
7100/15000 | acc 0.358 | e=0.29853 m1=0.6008 m2=0.2137
7200/15000 | acc 0.357 | e=0.29718 m1=0.5920 m2=0.2170
7300/15000 | acc 0.358 | e=0.29798 m1=0.6062 m2=0.2124
7400/15000 | acc 0.358 | e=0.29936 m1=0.5951 m2=0.2150
7500/15000 | acc 0.359 | e=0.29991 m1=0.5952 m2=0.2144
7600/15000 | acc 0.358 | e=0.29864 m1=0.6012 m2=0.2142
7700/15000 | acc 0.357 | e=0.29688 m1=0.5968 m2=0.2154
7800/15000 | acc 0.357 | e=0.29588 m1=0.5980 m2=0.2137
7900/15000 | acc 0.357 | e=0.29884 m1=0.5946 m2=0.2164
8000/15000 | acc 0.357 | e=0.30032 m1=0.5880 m2=0.2192
8100/15000 | acc 0.357 | e=0.29916 m1=0.5967 m2=0.2137
8200/15000 | acc 0.357 | e=0.29923 m1=0.5836 m2=0.2201
8300/15000 | acc 0.357 | e=0.29993 m1=0.6012 m2=0.2143
8400/15000 | acc 0.358 | e=0.30002 m1=0.5968 m2=0.2132
8500/15000 | acc 0.359 | e=0.30016 m1=0.5842 m2=0.2200
8600/15000 | acc 0.359 | e=0.29953 m1=0.5889 m2=0.2181
8700/15000 | acc 0.360 | e=0.29939 m1=0.5957 m2=0.2155
8800/15000 | acc 0.360 | e=0.29834 m1=0.5887 m2=0.2172
8900/15000 | acc 0.360 | e=0.29983 m1=0.5927 m2=0.2160
9000/15000 | acc 0.360 | e=0.29953 m1=0.5971 m2=0.2153
9100/15000 | acc 0.360 | e=0.29791 m1=0.6010 m2=0.2122
9200/15000 | acc 0.360 | e=0.29941 m1=0.5972 m2=0.2141
9300/15000 | acc 0.360 | e=0.30035 m1=0.5944 m2=0.2155
9400/15000 | acc 0.360 | e=0.29995 m1=0.5916 m2=0.2163
9500/15000 | acc 0.360 | e=0.29903 m1=0.5993 m2=0.2147
9600/15000 | acc 0.359 | e=0.29990 m1=0.6025 m2=0.2119
9700/15000 | acc 0.359 | e=0.29909 m1=0.5894 m2=0.2174
9800/15000 | acc 0.360 | e=0.30046 m1=0.5943 m2=0.2157
9900/15000 | acc 0.360 | e=0.29958 m1=0.6027 m2=0.2120
10000/15000 | acc 0.360 | e=0.29974 m1=0.5954 m2=0.2166
10100/15000 | acc 0.360 | e=0.29969 m1=0.5940 m2=0.2164
10200/15000 | acc 0.360 | e=0.29771 m1=0.6010 m2=0.2130
10300/15000 | acc 0.360 | e=0.29858 m1=0.6063 m2=0.2117
10400/15000 | acc 0.360 | e=0.30003 m1=0.6016 m2=0.2126
10500/15000 | acc 0.360 | e=0.29893 m1=0.5908 m2=0.2166
10600/15000 | acc 0.360 | e=0.29782 m1=0.5983 m2=0.2154
10700/15000 | acc 0.360 | e=0.29873 m1=0.5919 m2=0.2168
10800/15000 | acc 0.361 | e=0.29930 m1=0.5878 m2=0.2188
10900/15000 | acc 0.361 | e=0.29970 m1=0.5871 m2=0.2184
11000/15000 | acc 0.361 | e=0.29822 m1=0.5927 m2=0.2155
11100/15000 | acc 0.360 | e=0.30050 m1=0.5953 m2=0.2157
11200/15000 | acc 0.361 | e=0.29872 m1=0.6014 m2=0.2135
11300/15000 | acc 0.362 | e=0.30012 m1=0.5952 m2=0.2161
11400/15000 | acc 0.361 | e=0.29938 m1=0.6002 m2=0.2134
11500/15000 | acc 0.361 | e=0.29996 m1=0.5942 m2=0.2169
11600/15000 | acc 0.361 | e=0.30036 m1=0.5948 m2=0.2158
11700/15000 | acc 0.361 | e=0.29841 m1=0.5996 m2=0.2134
11800/15000 | acc 0.361 | e=0.29993 m1=0.5993 m2=0.2132
11900/15000 | acc 0.361 | e=0.30100 m1=0.5922 m2=0.2160
12000/15000 | acc 0.361 | e=0.29743 m1=0.5946 m2=0.2174
12100/15000 | acc 0.361 | e=0.30062 m1=0.5841 m2=0.2196
12200/15000 | acc 0.362 | e=0.29906 m1=0.5956 m2=0.2150
12300/15000 | acc 0.362 | e=0.29838 m1=0.6082 m2=0.2118
12400/15000 | acc 0.362 | e=0.29808 m1=0.5901 m2=0.2166
12500/15000 | acc 0.362 | e=0.29881 m1=0.5858 m2=0.2177
12600/15000 | acc 0.362 | e=0.30267 m1=0.5899 m2=0.2166
12700/15000 | acc 0.362 | e=0.29921 m1=0.5967 m2=0.2135
12800/15000 | acc 0.362 | e=0.29912 m1=0.5902 m2=0.2173
12900/15000 | acc 0.361 | e=0.30060 m1=0.6045 m2=0.2116
13000/15000 | acc 0.362 | e=0.29824 m1=0.5958 m2=0.2149
13100/15000 | acc 0.362 | e=0.30128 m1=0.5855 m2=0.2182
13200/15000 | acc 0.362 | e=0.29790 m1=0.5940 m2=0.2168
13300/15000 | acc 0.362 | e=0.29843 m1=0.6073 m2=0.2121
13400/15000 | acc 0.362 | e=0.29736 m1=0.6029 m2=0.2139
13500/15000 | acc 0.362 | e=0.29817 m1=0.5985 m2=0.2145
13600/15000 | acc 0.361 | e=0.29907 m1=0.5998 m2=0.2129
13700/15000 | acc 0.361 | e=0.29833 m1=0.5935 m2=0.2162
13800/15000 | acc 0.361 | e=0.30018 m1=0.6027 m2=0.2131
13900/15000 | acc 0.361 | e=0.29906 m1=0.5900 m2=0.2165
14000/15000 | acc 0.361 | e=0.29853 m1=0.5955 m2=0.2161
14100/15000 | acc 0.361 | e=0.29785 m1=0.5991 m2=0.2138
14200/15000 | acc 0.361 | e=0.29938 m1=0.5891 m2=0.2185
14300/15000 | acc 0.362 | e=0.29660 m1=0.5981 m2=0.2131
14400/15000 | acc 0.362 | e=0.29709 m1=0.6040 m2=0.2122
14500/15000 | acc 0.362 | e=0.30005 m1=0.5957 m2=0.2160
14600/15000 | acc 0.362 | e=0.29703 m1=0.6031 m2=0.2128
14700/15000 | acc 0.361 | e=0.29829 m1=0.5939 m2=0.2168
14800/15000 | acc 0.361 | e=0.29834 m1=0.6041 m2=0.2113
14900/15000 | acc 0.361 | e=0.30068 m1=0.5939 m2=0.2153
15000/15000 | acc 0.361 | e=0.29976 m1=0.5943 m2=0.2164

truth : [0.3  0.61 0.21]
mean  : [0.29933257 0.59480297 0.21544205]
std   : [0.00126635 0.00503575 0.00182874]
e 90% : 0.3009367839149125
acceptance: 0.36106666666666665
saved: /scratch/e1498138/eGB-multi/j1539_mcmc_e03.npz
Job completed at Thu Sep 24 08:42:34 AM +08 2026
