logL at truth: 37502.43357268977
8500/15000 | acc 0.422 | e=0.10106 m1=0.5338 m2=0.2367
8600/15000 | acc 0.422 | e=0.10053 m1=0.5445 m2=0.2335
8700/15000 | acc 0.422 | e=0.10184 m1=0.5622 m2=0.2270
8800/15000 | acc 0.422 | e=0.10016 m1=0.5397 m2=0.2338
8900/15000 | acc 0.423 | e=0.09857 m1=0.5387 m2=0.2351
9000/15000 | acc 0.424 | e=0.10003 m1=0.5453 m2=0.2313
9100/15000 | acc 0.424 | e=0.09990 m1=0.5648 m2=0.2232
9200/15000 | acc 0.424 | e=0.10062 m1=0.5566 m2=0.2277
9300/15000 | acc 0.424 | e=0.10078 m1=0.5540 m2=0.2288
9400/15000 | acc 0.424 | e=0.09998 m1=0.5309 m2=0.2374
9500/15000 | acc 0.424 | e=0.09959 m1=0.5437 m2=0.2315
9600/15000 | acc 0.423 | e=0.10164 m1=0.5536 m2=0.2281
9700/15000 | acc 0.423 | e=0.10050 m1=0.5348 m2=0.2349
9800/15000 | acc 0.423 | e=0.10108 m1=0.5308 m2=0.2368
9900/15000 | acc 0.423 | e=0.10149 m1=0.5502 m2=0.2299
10000/15000 | acc 0.423 | e=0.10073 m1=0.5478 m2=0.2323
10100/15000 | acc 0.423 | e=0.10193 m1=0.5491 m2=0.2306
10200/15000 | acc 0.423 | e=0.09938 m1=0.5697 m2=0.2227
10300/15000 | acc 0.423 | e=0.09994 m1=0.5727 m2=0.2224
10400/15000 | acc 0.423 | e=0.10168 m1=0.5704 m2=0.2235
10500/15000 | acc 0.423 | e=0.10047 m1=0.5444 m2=0.2313
10600/15000 | acc 0.423 | e=0.09775 m1=0.5473 m2=0.2323
10700/15000 | acc 0.423 | e=0.09864 m1=0.5403 m2=0.2336
10800/15000 | acc 0.423 | e=0.10014 m1=0.5242 m2=0.2401
10900/15000 | acc 0.423 | e=0.10118 m1=0.5090 m2=0.2464
11000/15000 | acc 0.423 | e=0.09909 m1=0.5268 m2=0.2383
11100/15000 | acc 0.423 | e=0.10049 m1=0.5196 m2=0.2415
11200/15000 | acc 0.424 | e=0.09998 m1=0.5205 m2=0.2409
11300/15000 | acc 0.425 | e=0.10139 m1=0.5366 m2=0.2353
11400/15000 | acc 0.426 | e=0.09863 m1=0.5455 m2=0.2316
11500/15000 | acc 0.426 | e=0.10140 m1=0.5410 m2=0.2341
11600/15000 | acc 0.426 | e=0.10026 m1=0.5331 m2=0.2365
11700/15000 | acc 0.426 | e=0.10043 m1=0.5456 m2=0.2316
11800/15000 | acc 0.427 | e=0.10197 m1=0.5595 m2=0.2272
11900/15000 | acc 0.427 | e=0.10097 m1=0.5417 m2=0.2328
12000/15000 | acc 0.427 | e=0.09958 m1=0.5478 m2=0.2325
12100/15000 | acc 0.427 | e=0.10150 m1=0.5382 m2=0.2339
12200/15000 | acc 0.428 | e=0.09954 m1=0.5324 m2=0.2371
12300/15000 | acc 0.428 | e=0.10026 m1=0.5515 m2=0.2286
12400/15000 | acc 0.428 | e=0.09982 m1=0.5290 m2=0.2385
12500/15000 | acc 0.429 | e=0.10059 m1=0.5124 m2=0.2442
12600/15000 | acc 0.429 | e=0.10144 m1=0.5017 m2=0.2467
12700/15000 | acc 0.428 | e=0.10061 m1=0.5129 m2=0.2437
12800/15000 | acc 0.428 | e=0.10072 m1=0.5043 m2=0.2480
12900/15000 | acc 0.427 | e=0.10250 m1=0.5365 m2=0.2361
13000/15000 | acc 0.427 | e=0.10044 m1=0.5448 m2=0.2338
13100/15000 | acc 0.427 | e=0.10071 m1=0.5260 m2=0.2371
13200/15000 | acc 0.427 | e=0.09857 m1=0.5314 m2=0.2367
13300/15000 | acc 0.427 | e=0.09958 m1=0.5505 m2=0.2300
13400/15000 | acc 0.427 | e=0.09895 m1=0.5423 m2=0.2341
13500/15000 | acc 0.427 | e=0.09927 m1=0.5516 m2=0.2296
13600/15000 | acc 0.426 | e=0.09831 m1=0.5558 m2=0.2273
13700/15000 | acc 0.426 | e=0.09878 m1=0.5315 m2=0.2364
13800/15000 | acc 0.426 | e=0.10079 m1=0.5472 m2=0.2305
13900/15000 | acc 0.427 | e=0.09915 m1=0.5284 m2=0.2389
14000/15000 | acc 0.426 | e=0.10045 m1=0.5292 m2=0.2367
14100/15000 | acc 0.426 | e=0.09915 m1=0.5353 m2=0.2357
14200/15000 | acc 0.426 | e=0.10014 m1=0.5247 m2=0.2403
14300/15000 | acc 0.427 | e=0.09797 m1=0.5238 m2=0.2392
14400/15000 | acc 0.427 | e=0.09909 m1=0.5358 m2=0.2363
14500/15000 | acc 0.427 | e=0.10176 m1=0.5306 m2=0.2381
14600/15000 | acc 0.427 | e=0.09814 m1=0.5427 m2=0.2327
14700/15000 | acc 0.427 | e=0.09933 m1=0.5384 m2=0.2352
14800/15000 | acc 0.427 | e=0.09958 m1=0.5404 m2=0.2324
14900/15000 | acc 0.427 | e=0.10175 m1=0.5426 m2=0.2321
15000/15000 | acc 0.427 | e=0.10066 m1=0.5377 m2=0.2353

truth : [0.1  0.61 0.21]
mean  : [0.10041869 0.5442626  0.23255735]
std   : [0.0013344  0.01993406 0.00730182]
e 90% : 0.1021080289536063
acceptance: 0.4268
saved: /scratch/e1498138/eGB-multi/j1539_mcmc_e01.npz
Job completed at Thu Sep 24 04:56:57 AM +08 2026
