logL at truth: 36457.888676046736
100/5000 | acc 0.240 | e=0.00101 m1=0.6464 m2=0.2026
200/5000 | acc 0.235 | e=0.00059 m1=0.6385 m2=0.2040
300/5000 | acc 0.220 | e=0.00099 m1=0.6528 m2=0.2002
400/5000 | acc 0.215 | e=0.00223 m1=0.6028 m2=0.2128
logL at truth: 36457.888676046736
100/15000 | acc 0.360 | e=0.00134 m1=0.6149 m2=0.2105
200/15000 | acc 0.350 | e=0.00084 m1=0.6022 m2=0.2124
300/15000 | acc 0.370 | e=0.00190 m1=0.6149 m2=0.2082
400/15000 | acc 0.383 | e=0.00205 m1=0.5921 m2=0.2168
500/15000 | acc 0.368 | e=0.00165 m1=0.5934 m2=0.2167
600/15000 | acc 0.367 | e=0.00038 m1=0.5884 m2=0.2189
700/15000 | acc 0.371 | e=0.00364 m1=0.5790 m2=0.2195
800/15000 | acc 0.381 | e=0.00092 m1=0.5662 m2=0.2242
900/15000 | acc 0.373 | e=0.00146 m1=0.5646 m2=0.2250
1000/15000 | acc 0.381 | e=0.00344 m1=0.5639 m2=0.2244
1100/15000 | acc 0.388 | e=0.00262 m1=0.5517 m2=0.2292
1200/15000 | acc 0.397 | e=0.00235 m1=0.5578 m2=0.2274
1300/15000 | acc 0.402 | e=0.00082 m1=0.5637 m2=0.2246
1400/15000 | acc 0.401 | e=0.00196 m1=0.5378 m2=0.2347
1500/15000 | acc 0.408 | e=0.00278 m1=0.5641 m2=0.2252
1600/15000 | acc 0.409 | e=0.00045 m1=0.5678 m2=0.2266
1700/15000 | acc 0.409 | e=0.00481 m1=0.5548 m2=0.2289
1800/15000 | acc 0.412 | e=0.00090 m1=0.5669 m2=0.2239
1900/15000 | acc 0.412 | e=0.00369 m1=0.5826 m2=0.2209
2000/15000 | acc 0.412 | e=0.00297 m1=0.5816 m2=0.2198
2100/15000 | acc 0.413 | e=0.00125 m1=0.5828 m2=0.2193
2200/15000 | acc 0.413 | e=0.00121 m1=0.5767 m2=0.2217
2300/15000 | acc 0.411 | e=0.00150 m1=0.5682 m2=0.2241
2400/15000 | acc 0.408 | e=0.00084 m1=0.5818 m2=0.2193
2500/15000 | acc 0.406 | e=0.00021 m1=0.6052 m2=0.2127
2600/15000 | acc 0.406 | e=0.00177 m1=0.6061 m2=0.2136
2700/15000 | acc 0.408 | e=0.00153 m1=0.6183 m2=0.2102
2800/15000 | acc 0.407 | e=0.00017 m1=0.6073 m2=0.2124
2900/15000 | acc 0.408 | e=0.00123 m1=0.6314 m2=0.2056
3000/15000 | acc 0.407 | e=0.00017 m1=0.6342 m2=0.2031
3100/15000 | acc 0.405 | e=0.00219 m1=0.6326 m2=0.2046
3200/15000 | acc 0.404 | e=0.00173 m1=0.6407 m2=0.2023
3300/15000 | acc 0.401 | e=0.00033 m1=0.6550 m2=0.1995
3400/15000 | acc 0.398 | e=0.00168 m1=0.6616 m2=0.1971
3500/15000 | acc 0.395 | e=0.00170 m1=0.6662 m2=0.1967
3600/15000 | acc 0.392 | e=0.00012 m1=0.6565 m2=0.1988
3700/15000 | acc 0.390 | e=0.00124 m1=0.6405 m2=0.2029
3800/15000 | acc 0.389 | e=0.00122 m1=0.6426 m2=0.2027
3900/15000 | acc 0.390 | e=0.00016 m1=0.6469 m2=0.2010
4000/15000 | acc 0.387 | e=0.00141 m1=0.6417 m2=0.2035
4100/15000 | acc 0.386 | e=0.00165 m1=0.6490 m2=0.2000
4200/15000 | acc 0.387 | e=0.00153 m1=0.6391 m2=0.2028
4300/15000 | acc 0.391 | e=0.00053 m1=0.6351 m2=0.2032
4400/15000 | acc 0.390 | e=0.00049 m1=0.6170 m2=0.2093
4500/15000 | acc 0.389 | e=0.00024 m1=0.6211 m2=0.2074
4600/15000 | acc 0.387 | e=0.00059 m1=0.6144 m2=0.2099
4700/15000 | acc 0.389 | e=0.00072 m1=0.5756 m2=0.2214
4800/15000 | acc 0.391 | e=0.00033 m1=0.5611 m2=0.2265
4900/15000 | acc 0.392 | e=0.00055 m1=0.5642 m2=0.2255
5000/15000 | acc 0.391 | e=0.00087 m1=0.5722 m2=0.2226
5100/15000 | acc 0.390 | e=0.00254 m1=0.5665 m2=0.2244
5200/15000 | acc 0.391 | e=0.00004 m1=0.5673 m2=0.2242
5300/15000 | acc 0.389 | e=0.00078 m1=0.5658 m2=0.2242
5400/15000 | acc 0.390 | e=0.00086 m1=0.5607 m2=0.2275
5500/15000 | acc 0.390 | e=0.00223 m1=0.5563 m2=0.2278
5600/15000 | acc 0.389 | e=0.00097 m1=0.5401 m2=0.2352
5700/15000 | acc 0.390 | e=0.00342 m1=0.5335 m2=0.2349
5800/15000 | acc 0.391 | e=0.00269 m1=0.5560 m2=0.2291
5900/15000 | acc 0.390 | e=0.00015 m1=0.5560 m2=0.2271
6000/15000 | acc 0.391 | e=0.00248 m1=0.5642 m2=0.2249
6100/15000 | acc 0.392 | e=0.00035 m1=0.5523 m2=0.2291
6200/15000 | acc 0.393 | e=0.00090 m1=0.5443 m2=0.2337
6300/15000 | acc 0.394 | e=0.00203 m1=0.5450 m2=0.2326
6400/15000 | acc 0.394 | e=0.00085 m1=0.5384 m2=0.2348
6500/15000 | acc 0.396 | e=0.00359 m1=0.5528 m2=0.2286
6600/15000 | acc 0.395 | e=0.00153 m1=0.5746 m2=0.2206
6700/15000 | acc 0.394 | e=0.00193 m1=0.5630 m2=0.2248
6800/15000 | acc 0.395 | e=0.00332 m1=0.5607 m2=0.2268
6900/15000 | acc 0.395 | e=0.00056 m1=0.5603 m2=0.2271
